GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wointernet,TimeFrame,GeoVintage,Source,Location
Census Tract,53053060200,WA,53053060200,53053060200,3.24,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060300,WA,53053060300,53053060300,7.54,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060400,WA,53053060400,53053060400,5.13,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060500,WA,53053060500,53053060500,1.55,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060600,WA,53053060600,53053060600,3.95,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060700,WA,53053060700,53053060700,6.68,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060800,WA,53053060800,53053060800,5.55,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060903,WA,53053060903,53053060903,7.26,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060904,WA,53053060904,53053060904,5.84,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060906,WA,53053060906,53053060906,11.96,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060907,WA,53053060907,53053060907,10.9,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053060908,WA,53053060908,53053060908,3.79,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061001,WA,53053061001,53053061001,6.89,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061002,WA,53053061002,53053061002,15.61,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061100,WA,53053061100,53053061100,8.38,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061200,WA,53053061200,53053061200,12.15,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061300,WA,53053061300,53053061300,6.33,2017-2021,2020,Census,"Pierce (County, 2020)"
