GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wocomp,TimeFrame,GeoVintage,Source,Location
Census Tract,53053061800,WA,53053061800,53053061800,4.45,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053061900,WA,53053061900,53053061900,6.66,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062000,WA,53053062000,53053062000,3.51,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062300,WA,53053062300,53053062300,3.92,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062400,WA,53053062400,53053062400,10.16,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062501,WA,53053062501,53053062501,4.1,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062502,WA,53053062502,53053062502,0.9,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062600,WA,53053062600,53053062600,5.56,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062801,WA,53053062801,53053062801,6.49,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062802,WA,53053062802,53053062802,2.79,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062901,WA,53053062901,53053062901,3.68,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053062902,WA,53053062902,53053062902,2.9,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063000,WA,53053063000,53053063000,0.13,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063100,WA,53053063100,53053063100,6.36,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063200,WA,53053063200,53053063200,5.85,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063301,WA,53053063301,53053063301,4.7,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063302,WA,53053063302,53053063302,4.19,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063401,WA,53053063401,53053063401,8.77,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063402,WA,53053063402,53053063402,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063501,WA,53053063501,53053063501,4.31,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053063502,WA,53053063502,53053063502,6.85,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070100,WA,53053070100,53053070100,0.44,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070204,WA,53053070204,53053070204,4.55,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070205,WA,53053070205,53053070205,0.52,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070206,WA,53053070206,53053070206,1.75,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070207,WA,53053070207,53053070207,4.28,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070208,WA,53053070208,53053070208,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070209,WA,53053070209,53053070209,2.42,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070307,WA,53053070307,53053070307,1.96,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070308,WA,53053070308,53053070308,3.23,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070309,WA,53053070309,53053070309,6.53,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070310,WA,53053070310,53053070310,0.55,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070311,WA,53053070311,53053070311,1.56,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070312,WA,53053070312,53053070312,0.47,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070313,WA,53053070313,53053070313,2.3,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070314,WA,53053070314,53053070314,0.92,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070315,WA,53053070315,53053070315,0.26,2017-2021,2020,Census,"Pierce (County, 2020)"
