GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wocomp,TimeFrame,GeoVintage,Source,Location
Census Tract,53033004800,WA,53033004800,53033004800,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004901,WA,53033004901,53033004901,0.5,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004902,WA,53033004902,53033004902,9.92,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005000,WA,53033005000,53033005000,2.1,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005100,WA,53033005100,53033005100,1.5,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005201,WA,53033005201,53033005201,2.92,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005202,WA,53033005202,53033005202,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005304,WA,53033005304,53033005304,11.49,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005305,WA,53033005305,53033005305,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005306,WA,53033005306,53033005306,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005307,WA,53033005307,53033005307,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005401,WA,53033005401,53033005401,2.1,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005402,WA,53033005402,53033005402,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005600,WA,53033005600,53033005600,1.84,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005700,WA,53033005700,53033005700,4.48,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005801,WA,53033005801,53033005801,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005803,WA,53033005803,53033005803,2.14,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005804,WA,53033005804,53033005804,0.59,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005901,WA,53033005901,53033005901,3.7,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005902,WA,53033005902,53033005902,2.91,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006000,WA,53033006000,53033006000,1.53,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006100,WA,53033006100,53033006100,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006200,WA,53033006200,53033006200,3.37,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006300,WA,53033006300,53033006300,1.62,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006400,WA,53033006400,53033006400,1.92,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006500,WA,53033006500,53033006500,0.41,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006600,WA,53033006600,53033006600,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006701,WA,53033006701,53033006701,6.02,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006702,WA,53033006702,53033006702,3.18,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006703,WA,53033006703,53033006703,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006800,WA,53033006800,53033006800,1.82,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006900,WA,53033006900,53033006900,1.31,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007001,WA,53033007001,53033007001,3,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007002,WA,53033007002,53033007002,0,2017-2021,2020,Census,"King (County, 2020)"
