GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wointernet,TimeFrame,GeoVintage,Source,Location
Census Tract,53033004302,WA,53033004302,53033004302,5.95,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004401,WA,53033004401,53033004401,4.41,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004402,WA,53033004402,53033004402,3.69,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004500,WA,53033004500,53033004500,4.68,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004600,WA,53033004600,53033004600,2.35,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004701,WA,53033004701,53033004701,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004702,WA,53033004702,53033004702,6.05,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004703,WA,53033004703,53033004703,1.23,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004800,WA,53033004800,53033004800,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004901,WA,53033004901,53033004901,0.5,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004902,WA,53033004902,53033004902,9.44,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005000,WA,53033005000,53033005000,2.15,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005100,WA,53033005100,53033005100,2.43,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005201,WA,53033005201,53033005201,5.16,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005202,WA,53033005202,53033005202,3.65,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005304,WA,53033005304,53033005304,14.19,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005305,WA,53033005305,53033005305,5.1,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005306,WA,53033005306,53033005306,0.98,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005307,WA,53033005307,53033005307,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005401,WA,53033005401,53033005401,2.8,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005402,WA,53033005402,53033005402,1.69,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005600,WA,53033005600,53033005600,2.2,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005700,WA,53033005700,53033005700,4.48,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005801,WA,53033005801,53033005801,1.52,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005803,WA,53033005803,53033005803,2.94,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005804,WA,53033005804,53033005804,0.59,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005901,WA,53033005901,53033005901,3.7,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005902,WA,53033005902,53033005902,5.36,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006000,WA,53033006000,53033006000,1.04,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006100,WA,53033006100,53033006100,0.59,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006200,WA,53033006200,53033006200,3.86,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006300,WA,53033006300,53033006300,1.17,2017-2021,2020,Census,"King (County, 2020)"
