,census tract,income z-score,computers z-score,internet z-score,composite index value
83,53033006200,2.367956448,-0.101732191,0.139035289,107790663.01302
84,53033006300,0.581040672,0.471135151,0.839520363,107790663.21523
85,53033006400,1.236568167,0.372929321,0.805667924,107790663.41954
86,53033006500,0.174835648,0.867231999,0.881184903,107790663.62180
87,53033006600,0.425717403,1.001446634,0.977534151,107790663.82603
88,53033006701,0.915867742,-0.969217024,-0.423435997,107790664.02545
89,53033006702,0.004385,-0.039535165,0.735359014,107790664.02988
90,53033006703,-0.247637127,1.001446634,1.14419231,107790664.03435
91,53033006800,0.794313437,0.405664598,0.568700855,107790664.23124
92,53033006900,0.840277395,0.572614509,0.803063891,107790664.43540
93,53033007001,-1.302015413,0.019388333,0.308297481,107790664.63420
94,53033007002,-1.033795355,1.001446634,1.14419231,107790664.64047
95,53033007101,-0.041322956,1.001446634,0.696298508,107790664.84280
96,53033007102,-0.416109578,-1.024866994,-0.80883299,107790664.83689
97,53033007201,-0.109349614,0.26162938,0.016645703,107790665.04303
98,53033007202,1.378462979,1.001446634,-0.02762287,107790665.04950
99,53033007203,0.138855759,1.001446634,1.14419231,107790665.05139
100,53033007301,-0.530658743,0.762479114,-0.241153636,107790665.24592
101,53033007302,0.440891327,-1.126346352,-0.649986932,107790665.24525
102,53033007303,0.210885354,0.55624687,0.961909948,107790665.25351
103,53033007403,-0.669644443,0.572614509,0.790043722,107790665.45466
104,53033007404,-0.377942038,0.490776317,0.737963047,107790665.45701
105,53033007405,-0.879333183,-2.448851531,-2.754046188,107790665.44495
106,53033007406,-1.331967623,0.608623313,-0.28542221,107790665.45730
107,53033007501,-1.05276276,-1.56499906,-0.475516672,107790665.64615
108,53033007502,-0.294601819,0.10777358,-1.449425288,107790665.65115
109,53033007503,-1.150252897,0.549699815,-1.33224377,107790665.65258
110,53033007600,0.141252867,1.001446634,0.779627587,107790665.85757
111,53033007700,0.297460506,0.202705882,0.508808079,107790666.05896
112,53033007800,1.282927765,-0.203211549,0.514016146,107790666.26340
113,53033007901,-1.036192462,0.356561683,0.222364368,107790666.46452
114,53033007902,-0.906702102,0.526785121,0.766607418,107790666.46827
115,53033008002,-0.271561658,-2.481586807,-2.07178935,107790666.66092
116,53033008003,-0.137835631,-0.157382162,0.868164734,107790666.67393
117,53033008004,1.537230635,1.001446634,0.891601037,107790666.68177
118,53033008101,-0.610065844,-0.89065236,-1.498901929,107790666.86585
119,53033008102,-0.157873589,-3.146112925,-1.084860565,107790666.86506
120,53033008200,0.051582422,0.438399874,0.086954614,107790667.07434
121,53033008300,-0.257667742,-1.928360631,-1.327035702,107790667.26928
122,53033008401,-0.917221448,-0.776078891,-0.186468928,107790667.47789
123,53033008402,-1.001771858,1.001446634,0.36298219,107790667.48448
124,53033008500,-0.966141063,-1.948001797,-1.595251177,107790667.67376
125,53033008600,-1.103753662,1.001446634,-0.267193973,107790667.88543
126,53033008700,0.709763027,-0.101732191,-0.256777838,107790668.09014
127,53033008800,0.687700327,-0.22939977,0.165075626,107790668.29395
128,53033008900,0.09577764,0.356561683,0.110390918,107790668.49708
129,53033009000,-1.144295037,-2.036387044,-1.272350994,107790668.69014
130,53033009100,-1.685296641,-4.187094724,-3.644625724,107790668.88310
131,53033009200,-1.795703231,-2.599433804,-3.483175633,107790669.08968
132,53033009300,-0.050236473,0.035755971,-0.45989247,107790669.30798
133,53033009400,-0.785357253,-0.769531836,-1.600459244,107790669.50578
134,53033009500,0.404445981,0.79521439,0.891601037,107790669.71970
135,53033009600,0.67250313,-1.136166935,-0.566657853,107790669.91661
136,53033009701,-0.006599804,0.638085062,0.6494259,107790670.12659
137,53033009702,0.731406815,0.778846752,0.967118016,107790670.13105
138,53033009801,0.713416871,0.127414746,-0.636966763,107790670.32765
139,53033009802,-0.015443502,0.222347048,0.524432281,107790670.33075
140,53033009900,-0.636992578,0.78212028,0.131223188,107790670.52902
141,53033010001,-1.226657795,-1.653384307,-1.912943292,107790670.72400
142,53033010002,-0.748143901,-0.972490551,-0.780188619,107790670.73069
143,53033010102,0.590512738,-0.206485077,0.183303862,107790670.94018
144,53033010200,0.749769125,-0.167202745,-0.079703545,107790671.13923
145,53033010301,-0.18114648,0.317279351,-0.574469954,107790671.34260
146,53033010302,-0.081352327,-0.111552774,-0.94163871,107790671.34322
147,53033010401,-0.185312327,-0.579667231,-0.881745934,107790671.54340
148,53033010402,-0.320667456,-0.213032132,-0.360939188,107790671.54696
149,53033010501,-0.24726476,-1.100158131,-0.639570797,107790671.74596
150,53033010502,-0.052703399,0.520238066,0.615573462,107790671.75423
151,53033010601,0.607408856,-0.091911608,0.274445043,107790671.95486
152,53033010602,-0.455301125,0.798487918,0.982742218,107790671.95798
153,53033010701,-0.404845499,0.192885299,-0.548429616,107790672.15496
154,53033010702,-1.042639053,0.549699815,-0.189072961,107790672.15715
155,53033010800,-0.108418698,0.35983521,0.422874966,107790672.35909
156,53033010900,-1.329617061,-1.198363961,-1.314015534,107790672.55317
157,53033011001,-1.541144359,-3.444003943,-3.490987734,107790672.74903
158,53033011002,-1.4339727,0.497323372,-1.126525105,107790672.76410
159,53033011101,-0.762968732,-1.096884603,-0.597906257,107790672.96452
160,53033011102,-0.011184563,-0.520743733,-1.306203433,107790672.96781
161,53033011200,-1.212484605,-0.962669968,-1.386928478,107790673.16349
162,53033011300,-0.672786283,-1.748316609,-2.423333904,107790673.36414
163,53033011401,-0.405148047,-0.330879128,-0.071891443,107790673.57763
164,53033011402,-0.8466115,0.012841277,-0.038039005,107790673.57953
165,53033011500,-0.333141725,0.572614509,0.566096821,107790673.78213
166,53033011601,0.756029532,0.549699815,0.10518285,107790673.98864
