GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,53033004901,WA,53033004901,53033004901,111374,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033004902,WA,53033004902,53033004902,109697,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005000,WA,53033005000,53033005000,109891,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005100,WA,53033005100,53033005100,145278,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005201,WA,53033005201,53033005201,73333,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005202,WA,53033005202,53033005202,46830,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005304,WA,53033005304,53033005304,21042,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005305,WA,53033005305,53033005305,26417,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005306,WA,53033005306,53033005306,37833,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005307,WA,53033005307,53033005307,35684,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005401,WA,53033005401,53033005401,126131,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005402,WA,53033005402,53033005402,105882,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005600,WA,53033005600,53033005600,178297,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005700,WA,53033005700,53033005700,155802,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005801,WA,53033005801,53033005801,124392,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005803,WA,53033005803,53033005803,131385,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005804,WA,53033005804,53033005804,82289,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005901,WA,53033005901,53033005901,140036,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033005902,WA,53033005902,53033005902,164828,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006000,WA,53033006000,53033006000,106682,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006100,WA,53033006100,53033006100,128904,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006200,WA,53033006200,53033006200,215781,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006300,WA,53033006300,53033006300,139000,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006400,WA,53033006400,53033006400,167167,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006500,WA,53033006500,53033006500,121546,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006600,WA,53033006600,53033006600,132326,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006701,WA,53033006701,53033006701,153387,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006702,WA,53033006702,53033006702,114222,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006703,WA,53033006703,53033006703,103393,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006800,WA,53033006800,53033006800,148164,2017-2021,2020,Census,"King (County, 2020)"
