GeoID,phh_wocomp
53053072903,0
53053072907,5.17
53053072908,0
53053073001,9.39
53053073005,6.24
53053073006,3.67
53053073110,3.29
53053073111,2.23
53053073114,9.85
53053073115,4.76
53053073116,3.02
53053073117,7.46
53053073118,1.12
53053073119,4.08
53053073120,0.55
53053073121,2.24
53053073122,0.61
53053073123,0
53053073124,0.59
53053073126,0
53053073127,3.07
53053073128,4.65
53053073129,1.3
53053073130,4.16
53053073131,4.42
53053073132,5.52
53053073133,3.23
53053073200,3.46
53053073301,4.28
53053073302,2.82
53053073404,9.89
53053073405,4.6
53053073406,3.35
53053073407,5.11
53053073408,4.6
53053073501,0.91
53053073502,2.04
53053940001,0.94
53053940002,3.33
53053940004,1.81
53053940005,3.32
53053940006,9.03
53053940007,7.42
53053940008,3.8
53053940009,2.01
53053940010,6.97
53053940011,1.31
53053940012,1.6
53053940013,2.74
